"","X","id","DistrictId","Z","A","D","Y"
"1",1,"328600",4,0,0,0,4000
"2",2,"265600",4,0,0,0,35000
"3",3,"283000",4,0,0,0,600
"4",4,"285900",4,0,0,1,4000
"5",5,"283000",4,1,0,1,0
"7",7,"268700",4,1,1,1,300
"8",8,"4403350",4,1,1,1,20
"9",9,"4403360",4,1,1,1,500
"10",10,"284000",4,1,1,1,0
"11",11,"297300",4,0,1,1,600
"12",12,"265600",4,0,0,1,26000
"13",13,"259800",4,1,0,1,4000
"14",14,"288700",4,1,0,1,400
"15",15,"263700",4,1,1,1,0
"16",16,"315900",4,1,1,1,57000
"17",17,"289000",4,0,0,1,0
"18",18,"283100",4,1,1,1,2000
"19",19,"269000",4,0,0,1,17000
"20",20,"346100",4,0,1,0,5000
"22",22,"265600",4,1,0,0,6500
"23",23,"269100",4,1,0,1,0
"24",24,"294300",4,0,0,1,15000
"25",25,"264900",4,1,0,1,800
"27",27,"318200",4,0,0,0,0
"28",28,"263700",4,0,1,1,0
"29",29,"290700",4,0,1,0,7000
"30",30,"290700",4,1,1,1,0
"32",32,"4403010",4,0,0,0,0
"33",33,"287400",4,0,0,0,1000
"34",34,"259600",4,0,1,1,200
"35",35,"346000",4,1,0,0,6000
"36",36,"285700",4,0,0,0,150
"37",37,"258000",4,0,0,0,14000
"38",38,"279300",4,0,0,1,0
"39",39,"294300",4,0,0,0,5000
"40",40,"347100",4,1,1,1,0
"41",41,"292300",4,0,0,0,4000
"42",42,"286200",4,0,0,1,1002
"43",43,"286100",4,1,1,1,200
"44",44,"271600",4,1,1,0,0
"45",45,"278500",4,0,1,0,3000
"46",46,"293600",4,0,0,0,0
"47",47,"258000",4,1,0,0,11000
"48",48,"292400",4,0,0,0,800
"49",49,"258000",4,0,0,0,0
"50",50,"287800",4,1,1,1,300
"51",51,"315900",4,1,1,1,12000
"52",52,"303300",4,1,0,1,0
"53",53,"315900",4,1,1,1,12000
"54",54,"4401080",4,0,1,1,300
"55",55,"275100",4,1,1,1,2000
"56",56,"292600",4,1,0,0,0
"57",57,"4403350",4,1,1,1,1200
"58",58,"347100",4,1,1,1,0
"59",59,"266700",4,1,0,1,5000
"60",60,"276200",4,0,0,1,4000
"61",61,"4403360",4,1,1,0,3000
"62",62,"259300",4,1,0,1,4000
"63",63,"288600",4,1,1,1,11000
"64",64,"263700",4,1,1,0,0
"65",65,"289400",4,1,1,1,10000
"66",66,"269000",4,0,0,0,14000
"67",67,"310200",4,1,1,1,1500
"68",68,"287100",4,1,1,1,0
"69",69,"269000",4,0,0,1,12000
"70",70,"4403310",4,1,1,1,12000
"72",72,"279300",4,0,0,0,2300
"73",73,"4401080",4,1,1,1,500
"74",74,"329700",4,0,0,1,9000
"75",75,"291800",4,0,0,1,4000
"76",76,"275600",4,0,0,1,5500
"77",77,"312300",4,1,0,1,1500
"78",78,"346200",4,0,0,0,694
"79",79,"286800",4,1,1,1,2000
"80",80,"312300",4,0,0,0,2600
"82",82,"4405000",4,1,1,1,10000
"83",83,"283000",4,0,0,0,6000
"84",84,"315400",4,1,1,1,5500
"85",85,"318200",4,1,0,1,0
"86",86,"346200",4,1,0,1,600
"87",87,"315400",4,1,1,1,300
"88",88,"268500",4,1,1,1,8000
"89",89,"279300",4,0,0,0,0
"90",90,"4401290",4,1,1,1,0
"92",92,"290700",4,1,1,0,4000
"93",93,"4403360",4,1,1,0,700
"94",94,"291700",4,1,1,1,3000
"95",95,"337000",4,0,0,1,5000
"96",96,"286800",4,1,1,1,350
"97",97,"4403240",4,0,0,0,1500
"98",98,"286800",4,1,1,1,1200
"99",99,"4403360",4,0,1,0,3000
"100",100,"278600",4,1,1,0,0
"101",101,"318200",4,0,0,0,0
"102",102,"309900",4,0,1,1,0
"103",103,"309900",4,0,1,0,0
"104",104,"288800",4,0,1,1,1500
"105",105,"315900",4,1,1,1,5200
"106",106,"263700",4,1,1,0,2000
"107",107,"285900",4,1,0,1,3000
"108",108,"275000",4,0,0,1,7000
"109",109,"258000",4,1,0,1,11000
"111",111,"326100",4,1,1,0,0
"112",112,"291700",4,1,1,1,0
"113",113,"315900",4,1,1,1,1000
"115",115,"329900",4,1,1,1,0
"116",116,"315900",4,1,1,1,12000
"117",117,"329300",4,0,0,0,4000
"118",118,"284300",4,1,0,0,1300
"119",119,"259700",4,1,1,1,2000
"120",120,"291700",4,1,1,1,0
"121",121,"287300",4,0,0,0,10000
"122",122,"265200",4,1,1,1,300
"123",123,"326100",4,1,1,1,3000
"124",124,"290700",4,1,1,1,2000
"125",125,"265200",4,1,1,1,300
"126",126,"288500",4,1,0,0,4000
"127",127,"318200",4,0,0,0,0
"129",129,"312200",4,1,0,1,0
"130",130,"346600",4,0,0,0,3000
"131",131,"318200",4,0,0,0,0
"132",132,"292200",4,1,1,1,0
"133",133,"303300",4,1,0,1,50000
"134",134,"314000",4,1,1,1,0
"135",135,"299000",4,0,0,0,3
"136",136,"290300",4,0,0,0,250
"137",137,"4403350",4,1,1,1,5700
"138",138,"4404130",4,0,1,0,1500
"139",139,"326200",4,0,0,0,3000
"140",140,"311400",4,1,0,1,0
"141",141,"291800",4,1,0,1,1500
"142",142,"327700",4,0,1,1,1200
"143",143,"291700",4,0,1,1,0
"144",144,"346600",4,1,0,1,1
"145",145,"311400",4,1,0,1,0
"146",146,"4403320",4,1,1,1,6000
"148",148,"4403430",4,0,0,1,1000
